"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isProductPageReviewFromOtherCountry","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewImages/10","reviewImages/11","reviewImages/12","reviewImages/13","reviewImages/14","reviewImages/15","reviewImages/16","reviewImages/17","reviewImages/18","reviewImages/19","reviewImages/20","reviewImages/21","reviewImages/22","reviewImages/23","reviewImages/24","reviewImages/25","reviewImages/26","reviewImages/27","reviewImages/28","reviewImages/29","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2025-05-05",,"allStars","https://www.amazon.com/Gildan-Mens-T-Shirt-White-Large/dp/B077ZMKWVM/ref=zg_bs_c_fashion_d_sccl_2/132-8474279-2690144?pd_rd_w=2uvpw&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=2GPG21YQY8K6YYZTQ0NK&pd_rd_wg=9MSdt&pd_rd_r=44738006-8310-442a-b4f2-35040a45748b&pd_rd_i=B077ZMKWVM&th=1&psc=1","false","false","true","1",,,"B077ZMKWVM","B077ZMKWVM","5",,"Having read most of the negative reviews of these shirts most being the fact that they were made of very thin material I decided to try them anyway because Summer shirts need to be light weight. I did take into account that the shirts are all 90% to 100% cotton and ordered one size larger for shrinkage( I wear a Men's Large so I ordered and Extra Large. I washed the shirts in warm water and dried in the dryer on low removing them immediately to hangers to prevent wrinkles. The shirts did indeed shrink, just about 1/2 size but I expect that they will shrink a little more over time so they should fit perfect after one more washing. They seem well made with all seams intact and no loose threads, the Black didn't fade like some reviews said and they shrank more in length than in width but the shirts have extra long tails so that isn't an issue for me. Over all this bundle of shirts is a great deal, 5 quality shirts for $20 where else are you going to find a deal like that these days. I recommend these Gildan T-shirts in this bundle, overall great shirts, Great value.","R1IIUQ3T9SQ0MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11 people found this helpful","Great Summer Tee's, good value, good quality, good vendor, what's not to like?","https://www.amazon.com/gp/customer-reviews/R1IIUQ3T9SQ0MN/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077ZMKWVM","Reviewed in the United States on May 5, 2025",,,"amzn1.account.AHDAM3GGP46ANARWKME3X47JGFFA","https://www.amazon.com/gp/profile/amzn1.account.AHDAM3GGP46ANARWKME3X47JGFFA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Number of Items: 5, Color: Black/Sport Grey/Military Green (5-pack), Size: X-Large","B077ZMKWVM","Number of Items","5","Color","Black/Sport Grey/Military Green (5-pack)","Size","X-Large"
"United States",,"2025-05-14",,"allStars","https://www.amazon.com/Gildan-Mens-T-Shirt-White-Large/dp/B077ZMKWVM/ref=zg_bs_c_fashion_d_sccl_2/132-8474279-2690144?pd_rd_w=2uvpw&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=2GPG21YQY8K6YYZTQ0NK&pd_rd_wg=9MSdt&pd_rd_r=44738006-8310-442a-b4f2-35040a45748b&pd_rd_i=B077ZMKWVM&th=1&psc=1","false","false","true","2",,,"B077ZMKWVM","B077ZMKWVM","5",,"My husband needed new shirts. His is always getting Hanes and they never seem to last long.So I read some views and seen the positive thing that were being said. I ordered white first on May 4.When I said this man brag at work on how soft these t-shirts were and he's never worn a t-shirt this soft before. I told him they had multi colors one too. So on May 11 I ordered some more the multi colors.. May 12 ordered some more multi colors for my teen son  with autism and he said these were really soft and he really liked them.","R3GAR9BREXW4OY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6 people found this helpful","These are really soft and approved by the men in my house.","https://www.amazon.com/gp/customer-reviews/R3GAR9BREXW4OY/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077ZMKWVM","Reviewed in the United States on May 14, 2025",,,"amzn1.account.AGJTZTHLDCZQC255DGJORRFFCQRQ","https://www.amazon.com/gp/profile/amzn1.account.AGJTZTHLDCZQC255DGJORRFFCQRQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Number of Items: 5, Color: Black/Sport Grey/Charcoal (5-pack), Size: XX-Large","B077ZMKWVM","Number of Items","5","Color","Black/Sport Grey/Charcoal (5-pack)","Size","XX-Large"
"United States",,"2025-05-26",,"allStars","https://www.amazon.com/Gildan-Mens-T-Shirt-White-Large/dp/B077ZMKWVM/ref=zg_bs_c_fashion_d_sccl_2/132-8474279-2690144?pd_rd_w=2uvpw&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=2GPG21YQY8K6YYZTQ0NK&pd_rd_wg=9MSdt&pd_rd_r=44738006-8310-442a-b4f2-35040a45748b&pd_rd_i=B077ZMKWVM&th=1&psc=1","false","false","true","3",,,"B077ZMKWVM","B077ZMKWVM","5",,"Where have these shirts been all of my life! I am 6’1” and 275 pounds. I have broad shoulders and a longer torso. Years ago, I had to start ordering XXL for the length. These shirts are perfect. Even after a wash. Now I didn’t dry in the dryer, but still. And the price is EXCELLENT! Thank you!!!","RC6IWO09J6X45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One person found this helpful","Order your size…you’ll ACTUALLY get it!!!","https://www.amazon.com/gp/customer-reviews/RC6IWO09J6X45/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077ZMKWVM","Reviewed in the United States on May 26, 2025",,,"amzn1.account.AEDAQ77GT3JAXLNXEN7N5YZDFM3Q","https://www.amazon.com/gp/profile/amzn1.account.AEDAQ77GT3JAXLNXEN7N5YZDFM3Q/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Number of Items: 12, Color: Black (12-pack), Size: XX-Large","B077ZMKWVM","Number of Items","12","Color","Black (12-pack)","Size","XX-Large"
"United States",,"2025-05-17",,"allStars","https://www.amazon.com/Gildan-Mens-T-Shirt-White-Large/dp/B077ZMKWVM/ref=zg_bs_c_fashion_d_sccl_2/132-8474279-2690144?pd_rd_w=2uvpw&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=2GPG21YQY8K6YYZTQ0NK&pd_rd_wg=9MSdt&pd_rd_r=44738006-8310-442a-b4f2-35040a45748b&pd_rd_i=B077ZMKWVM&th=1&psc=1","false","false","true","4",,,"B077ZMKWVM","B077ZMKWVM","4",,"When I first purchased these shirts, they fit just perfect. After washing them they shrink a lot. I also purchased a size larger and they stayed too big after washing, where the extra large is very tight.It could be that I am right on the edge. I have the extra large size and too small for the double extra.Large size. I have a forty eight inch chest, and my arms are a little bit bigger than average. They're still nice shirts, but I wouldn't buy them again because they shrink too much.","RSIGKMJHNU0LZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 people found this helpful","They are okay. But shrink too much.","https://www.amazon.com/gp/customer-reviews/RSIGKMJHNU0LZ/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077ZMKWVM","Reviewed in the United States on May 17, 2025",,,"amzn1.account.AHKKC7DOUVNDBRDLQ36PZJYZZ7ZQ","https://www.amazon.com/gp/profile/amzn1.account.AHKKC7DOUVNDBRDLQ36PZJYZZ7ZQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Number of Items: 5, Color: Black/Sport Grey/Charcoal (5-pack), Size: XX-Large","B077ZMKWVM","Number of Items","5","Color","Black/Sport Grey/Charcoal (5-pack)","Size","XX-Large"
"United States",,"2025-05-29",,"allStars","https://www.amazon.com/Gildan-Mens-T-Shirt-White-Large/dp/B077ZMKWVM/ref=zg_bs_c_fashion_d_sccl_2/132-8474279-2690144?pd_rd_w=2uvpw&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=2GPG21YQY8K6YYZTQ0NK&pd_rd_wg=9MSdt&pd_rd_r=44738006-8310-442a-b4f2-35040a45748b&pd_rd_i=B077ZMKWVM&th=1&psc=1","false","false","true","5",,,"B077ZMKWVM","B077ZMKWVM","5",,"Great shirts for the price and good summer t shirts or if you buy the all white ones they would make a great under shirt without overheating. I got the XL and fits perfectly and pleasantly longer than I expected very nice and soft. I would definitely buy these again","R27L7HA8KI213S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great summer shirt or under shirt for dress shirts","https://www.amazon.com/gp/customer-reviews/R27L7HA8KI213S/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077ZMKWVM","Reviewed in the United States on May 29, 2025",,,"amzn1.account.AHJJWWQT4Q6TVU54IFY7GDUWG74Q","https://www.amazon.com/gp/profile/amzn1.account.AHJJWWQT4Q6TVU54IFY7GDUWG74Q/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Number of Items: 5, Color: Black/Sport Grey/Military Green (5-pack), Size: X-Large","B077ZMKWVM","Number of Items","5","Color","Black/Sport Grey/Military Green (5-pack)","Size","X-Large"
"United States",,"2025-05-22",,"allStars","https://www.amazon.com/Gildan-Mens-T-Shirt-White-Large/dp/B077ZMKWVM/ref=zg_bs_c_fashion_d_sccl_2/132-8474279-2690144?pd_rd_w=2uvpw&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=2GPG21YQY8K6YYZTQ0NK&pd_rd_wg=9MSdt&pd_rd_r=44738006-8310-442a-b4f2-35040a45748b&pd_rd_i=B077ZMKWVM&th=1&psc=1","false","false","true","6",,,"B077ZMKWVM","B077ZMKWVM","5",,"this fits very well, i ordered small, i am 5’7 and about 125 lbs. if i could change anything about the shirt, this i would make the sleeves an inch longer. the shirt hugs my chest and stomach very well as im currently going to the gym and growing. and they’re pretty lightweight and i highly recommend","R2EZ0IDEPO930M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One person found this helpful","great","https://www.amazon.com/gp/customer-reviews/R2EZ0IDEPO930M/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077ZMKWVM","Reviewed in the United States on May 22, 2025",,,"amzn1.account.AGKSNKFM4BMMMHUDJOONK7HYXH2Q","https://www.amazon.com/gp/profile/amzn1.account.AGKSNKFM4BMMMHUDJOONK7HYXH2Q/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Number of Items: 6, Color: Black (6-pack), Size: Small","B077ZMKWVM","Number of Items","6","Color","Black (6-pack)","Size","Small"
"United States",,"2025-05-27",,"allStars","https://www.amazon.com/Gildan-Mens-T-Shirt-White-Large/dp/B077ZMKWVM/ref=zg_bs_c_fashion_d_sccl_2/132-8474279-2690144?pd_rd_w=2uvpw&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=2GPG21YQY8K6YYZTQ0NK&pd_rd_wg=9MSdt&pd_rd_r=44738006-8310-442a-b4f2-35040a45748b&pd_rd_i=B077ZMKWVM&th=1&psc=1","false","false","true","7",,,"B077ZMKWVM","B077ZMKWVM","5",,"Gildan has 2 kinds of T-shirt thickness. There is a light T-shirt for the summer and heavy thicker fabric for cooler times. These are the lighter ones. They’re great for the summer when it’s real hot out! Gildan makes the best T-shirts in my opinion.","R2P5K7NLCOYJ92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hot and cool weather Fabric thickness","https://www.amazon.com/gp/customer-reviews/R2P5K7NLCOYJ92/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077ZMKWVM","Reviewed in the United States on May 27, 2025",,,"amzn1.account.AG2FA6D745A2LTN2RWSJZN2QYBEA","https://www.amazon.com/gp/profile/amzn1.account.AG2FA6D745A2LTN2RWSJZN2QYBEA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Number of Items: 10, Color: Black/Sport Grey/Charcoal (10-pack), Size: XX-Large","B077ZMKWVM","Number of Items","10","Color","Black/Sport Grey/Charcoal (10-pack)","Size","XX-Large"
"United States",,"2025-04-02",,"allStars","https://www.amazon.com/Gildan-Mens-T-Shirt-White-Large/dp/B077ZMKWVM/ref=zg_bs_c_fashion_d_sccl_2/132-8474279-2690144?pd_rd_w=2uvpw&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=2GPG21YQY8K6YYZTQ0NK&pd_rd_wg=9MSdt&pd_rd_r=44738006-8310-442a-b4f2-35040a45748b&pd_rd_i=B077ZMKWVM&th=1&psc=1","false","false","true","8",,,"B077ZMKWVM","B077ZMKWVM","3",,"Wow … totally surprised by this purchase.  There is such a difference in shrinkage depending on whether the shirt is SOLID color or HEATHERED.  I have only known GILDAN brand t-shirts that were 100% cotton. When I looked at description of material, I saw the first shirt listed was 100% cotton and didn’t think to look further.  I did not realize that the colored t-shirt sets have different % cotton.  Therefore when washed, some will shrink a full size easily and others will slightly shrink and others will shrink some but not enough to be considered a full size smaller depending on the % blend of polyester.  SO BUYER BEWARE AND READ % cotton for each color! Who knew ?!?  The 100% cotton ones are nice and durable while the blends tend to be lighter fabric.  Thankfully, I don’t mind sleeping in t-shirts that are too large so I get to keep the ones that have not shrunk enough to fit my husband properly.  We purchased L to account for shrinkage when dried on Medium or High heat.  My husband wears M so the shirts with the poly blend are mine and he has the rest.  It’s a shame the seller does NOT IDENTIFY the material discrepancy upfront—better yet, sell the t-shirts per material content and not mixed.  GILDAN is a nice brand and the 100% cotton have always been a favorite so I tossed the shirts in the wash immediately when received.  Not realizing the material differences when I washed them, I will now get to learn what the poly blends are like but I am guessing I will always prefer the 100% cotton.  I would have given 5-stars if seller would have been up front with the varied material for the colored sets.  Honestly, we are a bit disappointed to discover the material difference in the sets AFTER THE FACT.  Hope this helps anyone wondering about why such mixed reviews for size and material.","R2DGCK25VAZELL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51 people found this helpful","Nice shirts but BUYER BEWARE and 👀 read % cotton per color of shirt 👀 …","https://www.amazon.com/gp/customer-reviews/R2DGCK25VAZELL/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077ZMKWVM","Reviewed in the United States on April 2, 2025",,,"amzn1.account.AFHKQMLUHBQHXO4SOMWZD65G5XBQ","https://www.amazon.com/gp/profile/amzn1.account.AFHKQMLUHBQHXO4SOMWZD65G5XBQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Number of Items: 5, Color: Navy/Heather Navy/Indigo Blue (5-pack), Size: Large","B077ZMKWVM","Number of Items","5","Color","Navy/Heather Navy/Indigo Blue (5-pack)","Size","Large"
"Canada",,"2024-01-09",,"allStars","https://www.amazon.com/Gildan-Mens-T-Shirt-White-Large/dp/B077ZMKWVM/ref=zg_bs_c_fashion_d_sccl_2/132-8474279-2690144?pd_rd_w=2uvpw&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=2GPG21YQY8K6YYZTQ0NK&pd_rd_wg=9MSdt&pd_rd_r=44738006-8310-442a-b4f2-35040a45748b&pd_rd_i=B077ZMKWVM&th=1&psc=1","false","true","true","1",,,"B077ZMKWVM","B077ZMKWVM","5",,"I’m happy with my purchase. Quality seems good the cotton fabric feel with these t-shirts is what I like, and it’s not to thin not to thick just feels right, fits well too. Will be buying more in the future.","R12BZ19ZCJ1F68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White T shirts",,"Reviewed in Canada on January 9, 2024",,,,,"Number of Items: 6, Color: White (6-pack), Size: X-Large","B077ZMKWVM","Number of Items","6","Color","White (6-pack)","Size","X-Large"
"Australia",,"2021-02-20",,"allStars","https://www.amazon.com/Gildan-Mens-T-Shirt-White-Large/dp/B077ZMKWVM/ref=zg_bs_c_fashion_d_sccl_2/132-8474279-2690144?pd_rd_w=2uvpw&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=2GPG21YQY8K6YYZTQ0NK&pd_rd_wg=9MSdt&pd_rd_r=44738006-8310-442a-b4f2-35040a45748b&pd_rd_i=B077ZMKWVM&th=1&psc=1","false","true","true","2",,,"B077ZMKWVM","B077ZMKWVM","5",,"Excellent fit and the size is just right both width & length & comfortable to wear under my business shirts and it doesn’t come out when sitting down at my office desk in an open environment","R1CXPB0W2K4PJ1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Awesome & comfortable & fits well",,"Reviewed in Australia on February 20, 2021",,,,,"Number of Items: 12, Color: White (12-pack), Size: X-Large","B077ZMKWVM","Number of Items","12","Color","White (12-pack)","Size","X-Large"
