"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isProductPageReviewFromOtherCountry","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2022-10-11",,"allStars","https://www.amazon.com/TunnelBear-Internet-Privacy-Devices-Unlimited/dp/B07PGLHKM8/ref=zg_bsms_g_software_d_sccl_44/132-8474279-2690144?psc=1","false","false","true","1",,,"B07PGLHKM8","B07PGLHKM8","5",,"This VPN is not as good as other I have used in the US because you can't connect to the closest major city for your connection due to limited amount of servers in the US. I live near Las Vegas in Southern Utah and I can't connect through Las Vegas, Los Angeles, San Francisco or even Seattle my closest server is Atlanta or Mexico City which means I get a slower connection to the internet and limits file sharing an 4k video when using the VPN however when traveling to Europe I wasn't able to stream any videos or pictures on my Delta flight after paying $50 for the privilege of having internet access on my 10 hour flight. The reason I paid the $50 was to watch Netflix and You Tube I was a bit upset by the extremely slow connection then I remembered I had installed Tunnel Near on my Galaxy Note 10+ for which I had an external screen, so I switched on Tunnel Bear connected through Atlanta and presto I was suddenly able to surf the internet and watched videos and movies from all my streaming apps in 1080P with no buffering throughout my entire flight. Amazing. I guess Delta throttles it's internet connection to the point of making it unusable to customers even after they suck $50 from your bank account completely ripping customers off for there hard earned dollars but my Tunnel Bear saved me from this horrible scam because they can't throttle your internet connection while using VPN like Tunnel Bear. Tunnel Bear works great in Europe and has servers all over the place in Europe so when I was blocked from using Discover+ outside the US I simply connected through Atlanta again and streamed My Cat from Hell and I got to watch on my portable 15.6 in screen in 1080P with no buffering by connecting my screen to the phone using the Dex feature and a USB-C data cord (I can connect my phone and use it as like a desktop using the Dex feature either wirelessly or through USB-C and it works flawlessly on most devices except my Roku where there is a 2 second deley for some reason making it next to impossible to use my mouse I have tried both my expensive Roku devices and have the same problem the audio doesn't sync properly to the video either I can mirror cast to the Roku but the screen on the phone is 2 sec or more ahead of the phone screen and it's definitely the Roku and not my phone because wireless casting works perfectly with my Fire stick and my Vizio smart TV and Roku has no support for the problem online. My advice get a FireTV device for casting not a Roku.) That said I highly recommend Tunnel Bear for it's extremely low price it is a great value and works pretty well but not as well as others such as Nord VPN which costs a lot more money.","RYCJ7HVRN8Z3F",,,,,,,,,,,"3 people found this helpful","Very affordable VPN","https://www.amazon.com/gp/customer-reviews/RYCJ7HVRN8Z3F/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07PGLHKM8","Reviewed in the United States on October 11, 2022",,,"amzn1.account.AEW66YDK4S2X7CQYE4TDVATIPRIA","https://www.amazon.com/gp/profile/amzn1.account.AEW66YDK4S2X7CQYE4TDVATIPRIA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B07PGLHKM8",,,,,,
"United States",,"2025-03-21",,"allStars","https://www.amazon.com/TunnelBear-Internet-Privacy-Devices-Unlimited/dp/B07PGLHKM8/ref=zg_bsms_g_software_d_sccl_44/132-8474279-2690144?psc=1","false","false","true","2",,,"B07PGLHKM8","B07PGLHKM8","5",,"Great VPN service","R9JLQH0JSEVQ7",,,,,,,,,,,"One person found this helpful","Affordable vpn , nice support","https://www.amazon.com/gp/customer-reviews/R9JLQH0JSEVQ7/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07PGLHKM8","Reviewed in the United States on March 21, 2025",,,"amzn1.account.AEVGGWTK4M4DGT65NJG5JPT3QEBQ","https://www.amazon.com/gp/profile/amzn1.account.AEVGGWTK4M4DGT65NJG5JPT3QEBQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B07PGLHKM8",,,,,,
"United States",,"2022-04-16",,"allStars","https://www.amazon.com/TunnelBear-Internet-Privacy-Devices-Unlimited/dp/B07PGLHKM8/ref=zg_bsms_g_software_d_sccl_44/132-8474279-2690144?psc=1","false","false","true","3",,,"B07PGLHKM8","B07PGLHKM8","1",,"Hey Bear: Give me the 4 Authorizations / Device Codes I paid for. You gave me ONE when I purchased your service for FIVE!Every 3 weeks or so, your reply is that you don't know what I'm asking for or you tell me the Authorization Code (one) works. Ture. Worked One Time Only.Pro Tip -> Apparently, you are not grasping that I loaded the VPN on ONE of my FIVE machines, and the same code doesn't work after.Fun Fact: I'm paid up on ONE 1 year of VPN licensed to FIVE devices.Clown shoes aren't normally Bear attire, so let's get this done. PLEASE?","RWE5C5RBOT4PB",,,,,,,,,,,"3 people found this helpful","Tbear has not completed my order...STILL ?!","https://www.amazon.com/gp/customer-reviews/RWE5C5RBOT4PB/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07PGLHKM8","Reviewed in the United States on April 16, 2022",,,"amzn1.account.AEVZK7I2GWTDOGCPFQCZAPWXYXHQ","https://www.amazon.com/gp/profile/amzn1.account.AEVZK7I2GWTDOGCPFQCZAPWXYXHQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B07PGLHKM8",,,,,,
"United States",,"2020-01-17",,"allStars","https://www.amazon.com/TunnelBear-Internet-Privacy-Devices-Unlimited/dp/B07PGLHKM8/ref=zg_bsms_g_software_d_sccl_44/132-8474279-2690144?psc=1","false","false","true","4",,,"B07PGLHKM8","B07PGLHKM8","5",,"I do a lot of shopping from my cell phone and don't want my financial information at risk.  I heard TunnelBear is great for those who aren't technical.  I can tell you it was easy to install onto both my PC and cell phone and has a very simple connection screen.  I enabled a few extra options and it rawrs at me to let me know they have been turned on.  The whole experience was very easy and simple to understand.  I feel safe now.  I love this!","R3N4JPR1NO0UF5",,,,,,,,,,,"7 people found this helpful","So easy!","https://www.amazon.com/gp/customer-reviews/R3N4JPR1NO0UF5/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07PGLHKM8","Reviewed in the United States on January 17, 2020",,,"amzn1.account.AGYAGQ5O2ZPAZFYKNESLGQKJTAKA","https://www.amazon.com/gp/profile/amzn1.account.AGYAGQ5O2ZPAZFYKNESLGQKJTAKA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B07PGLHKM8",,,,,,
"United States",,"2024-12-21",,"allStars","https://www.amazon.com/TunnelBear-Internet-Privacy-Devices-Unlimited/dp/B07PGLHKM8/ref=zg_bsms_g_software_d_sccl_44/132-8474279-2690144?psc=1","false","false","true","5",,,"B07PGLHKM8","B07PGLHKM8","5",,"Was freaking out for like 5 minutes after buying cause I thought it was a scam 😅 cause I couldn't find where your supposed to enter the code at. Read the instructions on the Amazon message it gives you the link to enter the code at.","R1B65DXH6NP5YM",,,,,,,,,,,"One person found this helpful","Great Price","https://www.amazon.com/gp/customer-reviews/R1B65DXH6NP5YM/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07PGLHKM8","Reviewed in the United States on December 21, 2024",,,"amzn1.account.AHRN6GJ55WJVTARBNMXVGSSLDPDA","https://www.amazon.com/gp/profile/amzn1.account.AHRN6GJ55WJVTARBNMXVGSSLDPDA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B07PGLHKM8",,,,,,
"United States",,"2022-07-18",,"allStars","https://www.amazon.com/TunnelBear-Internet-Privacy-Devices-Unlimited/dp/B07PGLHKM8/ref=zg_bsms_g_software_d_sccl_44/132-8474279-2690144?psc=1","false","false","true","6",,,"B07PGLHKM8","B07PGLHKM8","4",,"liked the simplicity to use. Seemed a little long to download.","R1YI1B6Y5IUSH0",,,,,,,,,,,,"EZ to use","https://www.amazon.com/gp/customer-reviews/R1YI1B6Y5IUSH0/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07PGLHKM8","Reviewed in the United States on July 18, 2022",,,"amzn1.account.AGAIG32F2JSLUXBM4QFC372XBF5Q","https://www.amazon.com/gp/profile/amzn1.account.AGAIG32F2JSLUXBM4QFC372XBF5Q/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B07PGLHKM8",,,,,,
"United States",,"2024-07-25",,"allStars","https://www.amazon.com/TunnelBear-Internet-Privacy-Devices-Unlimited/dp/B07PGLHKM8/ref=zg_bsms_g_software_d_sccl_44/132-8474279-2690144?psc=1","false","false","true","7",,,"B07PGLHKM8","B07PGLHKM8","5",,"It’s a decent little vpn for the price, especially since it’s more expensive on their website. It is U.S. based so you can’t use it to unlock region locked content but you can use it for getting waaaay less ads on YouTube and twitch. The code says it’s for one device but TunnelBear switched over to an unlimited device model so this license actually works on as many devices as you want to log into.","R1KJS52OV2MS8L",,,,,,,,,,,"One person found this helpful","Decent vpn, better than web price","https://www.amazon.com/gp/customer-reviews/R1KJS52OV2MS8L/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07PGLHKM8","Reviewed in the United States on July 25, 2024",,,"amzn1.account.AHWYV4K6ML4JBPK5BEKTMCALHJMA","https://www.amazon.com/gp/profile/amzn1.account.AHWYV4K6ML4JBPK5BEKTMCALHJMA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B07PGLHKM8",,,,,,
"United States",,"2021-06-05",,"allStars","https://www.amazon.com/TunnelBear-Internet-Privacy-Devices-Unlimited/dp/B07PGLHKM8/ref=zg_bsms_g_software_d_sccl_44/132-8474279-2690144?psc=1","false","false","true","8",,,"B07PGLHKM8","B07PGLHKM8","1",,"I was happy for two years until TunnelBear was turned off, with no refund, due to supposed changes in the Indian law.This company clearly can’t handle the complications of being a global VPN provider.  If they can’t handle Indian laws I think they won be able to handle other non-USA users.Sad they told me to contact Amazon for a refund.  Weak customer service.","R7VPQJSQ7ZZS6",,,,,,,,,,,"3 people found this helpful","TunnelBear canceled my account due being in India!  No refund!!  Poor customer service.","https://www.amazon.com/gp/customer-reviews/R7VPQJSQ7ZZS6/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07PGLHKM8","Reviewed in the United States on June 5, 2021",,,"amzn1.account.AGXVOSGTZZQYV4XXDYWI6KSCBUVQ","https://www.amazon.com/gp/profile/amzn1.account.AGXVOSGTZZQYV4XXDYWI6KSCBUVQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B07PGLHKM8",,,,,,
"Germany",,"2025-05-30",,"allStars","https://www.amazon.com/Something-Beautiful-Miley-Cyrus/dp/B0F22VWYLH/ref=zg_bsnr_c_music_d_sccl_2/132-8474279-2690144?pd_rd_w=b8wxt&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=0AZK4J24X53RJBQ01M5Z&pd_rd_wg=Ttbyb&pd_rd_r=f2a92114-58f8-44c7-b920-8d2fd4bb5aaa&pd_rd_i=B0F22VWYLH&psc=1","false","true","true","1",,,"B0F22VWYLH","B0F22VWYLH","5",,"Wirklich schöne Lieder, die einzigartig sind. Miley’s Stil ist besonders und das merkt man natürlich auch an den Songs. Easy Lover wird mit Sicherheit ein Sommerhit 2025 werden. Für die Musik selbst also volle Punktzahl.Die CD-Hülle ist allerdings sehr billig und schon kaputt angekommen. Der Kundendienst hat direkt geholfen, aber ich denke, dass es einfach an der niedrigen Qualität der Hülle liegt. Da hat man leider an der falschen Stelle gespart.","R2LOEFVXP9NPJU",,,,,,,,,,,,"Tolles Album",,"Reviewed in Germany on May 30, 2025",,,,,"","B0F22VWYLH",,,,,,
"Canada",,"2025-05-30",,"allStars","https://www.amazon.com/Something-Beautiful-Miley-Cyrus/dp/B0F22VWYLH/ref=zg_bsnr_c_music_d_sccl_2/132-8474279-2690144?pd_rd_w=b8wxt&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=0AZK4J24X53RJBQ01M5Z&pd_rd_wg=Ttbyb&pd_rd_r=f2a92114-58f8-44c7-b920-8d2fd4bb5aaa&pd_rd_i=B0F22VWYLH&psc=1","false","true","true","2",,,"B0F22VWYLH","B0F22VWYLH","5",,"Miley returns and the follow up to 2023's ""Endless Summer Vacation"" feels like another summer vacation, being released on May 30th, 2025 and just in time for the upcoming summer. The album has a warm feeling of nostalgia, with all sorts of influences coming from Madonna, Lady Gaga to Pink Floyd to draw you in to want more. This is a mature album from the previous hits that we know from Miley has music has grown in to this album masterpiece. The song ""Every Girl You've Ever Loved"" is out of this world, quite literally: you will be feeling like you are in far galaxy from the vibes from this album.","R2LK26UX2K54AW",,,,,,,,,,,,"Awesome album",,"Reviewed in Canada on May 30, 2025",,,,,"","B0F22VWYLH",,,,,,
