"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isProductPageReviewFromOtherCountry","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value"
"United States",,"2025-05-21",,"allStars","https://www.amazon.com/Print-Shop-5-0-Professional-Impressive/dp/B07WSK3JS5/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_20/132-8474279-2690144?pd_rd_w=jBX3v&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=8PJF5C5K02K4NBQ02YRM&pd_rd_wg=arf7O&pd_rd_r=a4ea5dda-37ce-4956-965f-5c2a68487a3e&pd_rd_i=B07WSK3JS5&th=1","false","false","true","1",,,"B07WSK3JS5","B07WSK3JS5","1",,"The serial key is not right","R3K7QZHTRHHSPG",,,"The product is worthless without the serial code","https://www.amazon.com/gp/customer-reviews/R3K7QZHTRHHSPG/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07WSK3JS5","Reviewed in the United States on May 21, 2025",,,"amzn1.account.AGF2CPDMF6TSMXOXWZFQQC24NGPQ","https://www.amazon.com/gp/profile/amzn1.account.AGF2CPDMF6TSMXOXWZFQQC24NGPQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Platform: PC Download, Edition: Professional","B07WSK3JS5","Platform","PC Download","Edition","Professional"
"United States",,"2021-07-23",,"allStars","https://www.amazon.com/Print-Shop-5-0-Professional-Impressive/dp/B07WSK3JS5/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_20/132-8474279-2690144?pd_rd_w=jBX3v&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=8PJF5C5K02K4NBQ02YRM&pd_rd_wg=arf7O&pd_rd_r=a4ea5dda-37ce-4956-965f-5c2a68487a3e&pd_rd_i=B07WSK3JS5&th=1","false","false","true","2",,,"B07WSK3JS5","B07WSK3JS5","5",,"Amazing product","R3SQ0FLXPR89BT",,"One person found this helpful","Thanks Amazon","https://www.amazon.com/gp/customer-reviews/R3SQ0FLXPR89BT/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07WSK3JS5","Reviewed in the United States on July 23, 2021",,,"amzn1.account.AE2NKYHC246YO6B3JKWO7XAPKOJA","https://www.amazon.com/gp/profile/amzn1.account.AE2NKYHC246YO6B3JKWO7XAPKOJA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Platform: PC Download, Edition: Professional","B07WSK3JS5","Platform","PC Download","Edition","Professional"
"United States",,"2025-02-25",,"allStars","https://www.amazon.com/Print-Shop-5-0-Professional-Impressive/dp/B07WSK3JS5/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_20/132-8474279-2690144?pd_rd_w=jBX3v&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=8PJF5C5K02K4NBQ02YRM&pd_rd_wg=arf7O&pd_rd_r=a4ea5dda-37ce-4956-965f-5c2a68487a3e&pd_rd_i=B07WSK3JS5&th=1","false","false","true","3",,,"B07WSK3JS5","B07WSK3JS5","1",,"Worst purchase I have ever made. They sent an activation code that never worked nor would they send a new one. Purchased something that I never got a chance to use. It’s not worth buying.","R101GEDUDI66AR",,,"Will not purchase ever again","https://www.amazon.com/gp/customer-reviews/R101GEDUDI66AR/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07WSK3JS5","Reviewed in the United States on February 25, 2025",,,"amzn1.account.AGFXXSWV5D6JJ7EYXQ6RA6A2UIYA","https://www.amazon.com/gp/profile/amzn1.account.AGFXXSWV5D6JJ7EYXQ6RA6A2UIYA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Platform: PC Download, Edition: Professional","B07WSK3JS5","Platform","PC Download","Edition","Professional"
"United States",,"2025-04-17",,"allStars","https://www.amazon.com/Print-Shop-5-0-Professional-Impressive/dp/B07WSK3JS5/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_20/132-8474279-2690144?pd_rd_w=jBX3v&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=8PJF5C5K02K4NBQ02YRM&pd_rd_wg=arf7O&pd_rd_r=a4ea5dda-37ce-4956-965f-5c2a68487a3e&pd_rd_i=B07WSK3JS5&th=1","false","false","true","4",,,"B07WSK3JS5","B07WSK3JS5","3",,"I cannot get this product to activate. I cannot seem to find out how to talk to customer service.  Product key doesn't work.","R2MW052W2Z4AGC",,,"PS5E-M3V2-XWE3-4PNP","https://www.amazon.com/gp/customer-reviews/R2MW052W2Z4AGC/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07WSK3JS5","Reviewed in the United States on April 17, 2025",,,"amzn1.account.AGPALTZHRXYDHPM6BJJH7LY2JFVA","https://www.amazon.com/gp/profile/amzn1.account.AGPALTZHRXYDHPM6BJJH7LY2JFVA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Platform: PC Download, Edition: Professional","B07WSK3JS5","Platform","PC Download","Edition","Professional"
"United States",,"2020-01-12",,"allStars","https://www.amazon.com/Print-Shop-5-0-Professional-Impressive/dp/B07WSK3JS5/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_20/132-8474279-2690144?pd_rd_w=jBX3v&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=8PJF5C5K02K4NBQ02YRM&pd_rd_wg=arf7O&pd_rd_r=a4ea5dda-37ce-4956-965f-5c2a68487a3e&pd_rd_i=B07WSK3JS5&th=1","false","false","true","5",,,"B07WSK3JS5","B07WSK3JS5","5",,"Bought for my mothers boyfriend for his tattoo shop.","R35QTCFY962U6L",,"2 people found this helpful","Stenicils","https://www.amazon.com/gp/customer-reviews/R35QTCFY962U6L/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07WSK3JS5","Reviewed in the United States on January 12, 2020",,,"amzn1.account.AHWCW3BTUFXGKPJPHDHVQ7DFSIBQ","https://www.amazon.com/gp/profile/amzn1.account.AHWCW3BTUFXGKPJPHDHVQ7DFSIBQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Platform: PC Download, Edition: Professional","B07WSK3JS5","Platform","PC Download","Edition","Professional"
"United States",,"2023-11-06",,"allStars","https://www.amazon.com/Print-Shop-5-0-Professional-Impressive/dp/B07WSK3JS5/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_20/132-8474279-2690144?pd_rd_w=jBX3v&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=8PJF5C5K02K4NBQ02YRM&pd_rd_wg=arf7O&pd_rd_r=a4ea5dda-37ce-4956-965f-5c2a68487a3e&pd_rd_i=B07WSK3JS5&th=1","false","false","true","6",,,"B07WSK3JS5","B07WSK3JS5","1",,"I get an error message when trying to download this product that says it could not be downloaded due to virus scan failed. I have tried everything in suggestions to get this to download with no luck. I would like to receive either a disc so I can download this or get my money back!!!","R1THIC91HFW9XN",,"One person found this helpful","Could not get this product to download","https://www.amazon.com/gp/customer-reviews/R1THIC91HFW9XN/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07WSK3JS5","Reviewed in the United States on November 6, 2023",,,"amzn1.account.AHSSB257UGMQKGLZZXJ7OY23ZHQQ","https://www.amazon.com/gp/profile/amzn1.account.AHSSB257UGMQKGLZZXJ7OY23ZHQQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Platform: PC Download, Edition: Professional","B07WSK3JS5","Platform","PC Download","Edition","Professional"
"United States",,"2022-09-26",,"allStars","https://www.amazon.com/Print-Shop-5-0-Professional-Impressive/dp/B07WSK3JS5/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_20/132-8474279-2690144?pd_rd_w=jBX3v&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=8PJF5C5K02K4NBQ02YRM&pd_rd_wg=arf7O&pd_rd_r=a4ea5dda-37ce-4956-965f-5c2a68487a3e&pd_rd_i=B07WSK3JS5&th=1","false","false","true","7",,,"B07WSK3JS5","B07WSK3JS5","1",,"when i try to run this software  it says to register it so i try and it says system cannot find the specified file or check my internet my  internet is fine i have allowed it all through my windows firewall and security nothing is working...plz give me a refund","RD5LHCN920KOD",,"One person found this helpful","junk","https://www.amazon.com/gp/customer-reviews/RD5LHCN920KOD/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07WSK3JS5","Reviewed in the United States on September 26, 2022",,,"amzn1.account.AHPV2JEFN5DOWXIUIFFOEZQ5T5VQ","https://www.amazon.com/gp/profile/amzn1.account.AHPV2JEFN5DOWXIUIFFOEZQ5T5VQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Platform: PC Download, Edition: Professional","B07WSK3JS5","Platform","PC Download","Edition","Professional"
"United States",,"2023-01-06",,"allStars","https://www.amazon.com/Print-Shop-5-0-Professional-Impressive/dp/B07WSK3JS5/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_20/132-8474279-2690144?pd_rd_w=jBX3v&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=8PJF5C5K02K4NBQ02YRM&pd_rd_wg=arf7O&pd_rd_r=a4ea5dda-37ce-4956-965f-5c2a68487a3e&pd_rd_i=B07WSK3JS5&th=1","false","false","false","8",,,"B07WSK3JS5","B07WSK3JS5","5",,"Used it for many years, it's the best value for money.  Comes with tons of free templates. Easy to install and use.","R33UZVE8XCSVK6",,,"Best card design program for the money","https://www.amazon.com/gp/customer-reviews/R33UZVE8XCSVK6/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07WSK3JS5","Reviewed in the United States on January 6, 2023",,,"amzn1.account.AFBSHW4TCKWAO67CB7TDAS2WEKYA","https://www.amazon.com/gp/profile/amzn1.account.AFBSHW4TCKWAO67CB7TDAS2WEKYA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Platform: PC Download, Edition: Professional","B07WSK3JS5","Platform","PC Download","Edition","Professional"
"United States",,"2025-01-25",,"allStars","https://www.amazon.com/Greeting-Card-Factory-Deluxe-Download/dp/B0751L8GQ5/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_9/132-8474279-2690144?pd_rd_w=jBX3v&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=8PJF5C5K02K4NBQ02YRM&pd_rd_wg=arf7O&pd_rd_r=a4ea5dda-37ce-4956-965f-5c2a68487a3e&pd_rd_i=B0751L8GQ5&psc=1","false","false","true","1",,,"B0751L8GQ5","B0751L8GQ5","5",,"I love to make my own greeting cards and this program is so easy to use.  Well worth the price and the savings are great.","R39K0081KS8JFB",,"One person found this helpful","Love this product.","https://www.amazon.com/gp/customer-reviews/R39K0081KS8JFB/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0751L8GQ5","Reviewed in the United States on January 25, 2025",,,"amzn1.account.AF3G6PDUZ57ENB4M2HTJENPDNLKA","https://www.amazon.com/gp/profile/amzn1.account.AF3G6PDUZ57ENB4M2HTJENPDNLKA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0751L8GQ5",,,,
"United States",,"2025-05-01",,"allStars","https://www.amazon.com/Greeting-Card-Factory-Deluxe-Download/dp/B0751L8GQ5/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_9/132-8474279-2690144?pd_rd_w=jBX3v&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=8PJF5C5K02K4NBQ02YRM&pd_rd_wg=arf7O&pd_rd_r=a4ea5dda-37ce-4956-965f-5c2a68487a3e&pd_rd_i=B0751L8GQ5&psc=1","false","false","true","2",,,"B0751L8GQ5","B0751L8GQ5","1",,"I had an older version of this software, loved it, but unfortunately when my computer had to be replaced I could no longer use the old version.  So I figured since I enjoyed my older version and I was comfortable with how it worked.  Why not rebuy.  Boy was I wrong!  Not user friendly anymore.  The instructions when asking how to are so blatantly comfusing. Half the function are not comparable with my printer.  It certainly was not worth the $50 I paid for it.  The download speed made no difference to me.  My old version had 5 separate discs that had to be downloaded.  This certainly is a huge downgrade from my old version.  Someone should back and compare the old to the new version to see where it all went wrong.  Would NOT recommend.","R2A169VW24ZTZR",,,"Disappointing, no very disappointing","https://www.amazon.com/gp/customer-reviews/R2A169VW24ZTZR/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0751L8GQ5","Reviewed in the United States on May 1, 2025",,,"amzn1.account.AFKXKZ36QZFK7X35QAQLMOSGKNBA","https://www.amazon.com/gp/profile/amzn1.account.AFKXKZ36QZFK7X35QAQLMOSGKNBA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0751L8GQ5",,,,
