"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isProductPageReviewFromOtherCountry","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value"
"United States",,"2025-04-29",,"allStars","https://www.amazon.com/Drop-Collectors-DVD-Christopher-Landon/dp/B0F3G18CGG/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_26/132-8474279-2690144?pd_rd_w=NOrZH&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=EH2DFYFQ9DX6X2CAEJX1&pd_rd_wg=PisVR&pd_rd_r=d66ce168-b75b-4545-96be-3d143d278435&pd_rd_i=B0F3G18CGG&psc=1","false","false","false","1",,,"B0F3G18CGG","B0F3G18CGG","2",,"#Drop🍿🍿1/2 (Out of 5)Not At All Original, Very Predictable And No Reality To Be Found - A Fun “Fantasy”Directed by Christopher Landon this film is trying to be something where basic logic, reason and real world technology are nowhere to be found. It has a lot of action, stunt work and seemingly advanced technology written into it but the director and writers Jillian Jacobs and Chris Roach did not give real thought to the reasoning and quick oversimplification of how closed-circuit camera’s work, how they can be taken over and/or manipulated over cell phones. I don’t think even the CIA equipment is this sophisticated.The story is that of Violet (Meghann Fahy), a widowed mother who goes to an upscale restaurant to meet Henry (Brandon Sklenar), a charming and handsome date. However, her pleasant evening soon turns into a living nightmare when she receives phone messages/texts from a mysterious, hooded figure who threatens to kill her young son and sister unless she kills Henry. The baddie (played by Reed Diamond) and her sister (Violett Beane) both play key roles in the unfolding drama, with weird twists and lots of action.The film has a very sharp, deep and color pallet thanks to the cinematography by Marc Spicer and the editing by Ben Baudhuin with all the action and the stunts is really done well. The music is by Bear McCreary who, as I am familiar with his work, he does another great job helping the mood and tension up and downs of the film.It’s a fun little ‘science fiction’ film (written sarcastically) that looks good and is smooth with its sleek style, just forget reality all together and you’ll enjoy the action, special effects and stunts. P.S. Can someone tell me why its called “Drop”?Lorenzo M","R2A0V73IX5GCDX","One person found this helpful","Not At All Original, Very Predictable And No Reality To Be Found - A Fun “Fantasy”","https://www.amazon.com/gp/customer-reviews/R2A0V73IX5GCDX/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0F3G18CGG","Reviewed in the United States on April 29, 2025",,,"amzn1.account.AFKAHC57K3RYJZVNN7JASNYPURUQ","https://www.amazon.com/gp/profile/amzn1.account.AFKAHC57K3RYJZVNN7JASNYPURUQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0F3G18CGG",,,,
"United States",,"2025-04-28",,"allStars","https://www.amazon.com/Drop-Collectors-DVD-Christopher-Landon/dp/B0F3G18CGG/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_26/132-8474279-2690144?pd_rd_w=NOrZH&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=EH2DFYFQ9DX6X2CAEJX1&pd_rd_wg=PisVR&pd_rd_r=d66ce168-b75b-4545-96be-3d143d278435&pd_rd_i=B0F3G18CGG&psc=1","false","false","false","2",,,"B0F3G18CGG","B0F3G18CGG","4",,"Opinions are subjective so don’t judge until you watch yourself, but I personally thought it was a decent film. Not really a horror/slasher type of movie; it’s more suspense than anything but that’s what makes it good in my opinion. It really has you questioning on what will happen next and wanting to tune in to the very end. The acting was ok and the plot was decent. Nothing out of the ordinary, but a film that I know most would enjoy (if you’re into suspense). Give it a shot if you’re looking for something to watch","R35TY6FOYCG7S4","3 people found this helpful","Opinions are Subjective","https://www.amazon.com/gp/customer-reviews/R35TY6FOYCG7S4/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0F3G18CGG","Reviewed in the United States on April 28, 2025",,,"amzn1.account.AEY3LZRB6J3NSRRST34EGXOQJ4LQ","https://www.amazon.com/gp/profile/amzn1.account.AEY3LZRB6J3NSRRST34EGXOQJ4LQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0F3G18CGG",,,,
"United States",,"2025-04-26",,"allStars","https://www.amazon.com/Drop-Collectors-DVD-Christopher-Landon/dp/B0F3G18CGG/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_26/132-8474279-2690144?pd_rd_w=NOrZH&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=EH2DFYFQ9DX6X2CAEJX1&pd_rd_wg=PisVR&pd_rd_r=d66ce168-b75b-4545-96be-3d143d278435&pd_rd_i=B0F3G18CGG&psc=1","false","false","false","3",,,"B0F3G18CGG","B0F3G18CGG","1",,"The absolute worst movie ever! Acting bad, story stupid!  Waste of time and money!!!","R1SEUZ47ZX93YE","2 people found this helpful","Stupid movie","https://www.amazon.com/gp/customer-reviews/R1SEUZ47ZX93YE/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0F3G18CGG","Reviewed in the United States on April 26, 2025",,,"amzn1.account.AHZWKZMQPWAYKXHUCR6AVN4J5CXA","https://www.amazon.com/gp/profile/amzn1.account.AHZWKZMQPWAYKXHUCR6AVN4J5CXA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0F3G18CGG",,,,
"United States",,"2025-04-29",,"allStars","https://www.amazon.com/Drop-Collectors-DVD-Christopher-Landon/dp/B0F3G18CGG/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_26/132-8474279-2690144?pd_rd_w=NOrZH&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=EH2DFYFQ9DX6X2CAEJX1&pd_rd_wg=PisVR&pd_rd_r=d66ce168-b75b-4545-96be-3d143d278435&pd_rd_i=B0F3G18CGG&psc=1","false","false","false","4",,,"B0F3G18CGG","B0F3G18CGG","5",,"The absolute best movie ever! Acting great, story great! Great investment of time and money!!!","RSWC3JJ1SIGFG","4 people found this helpful","Great Movie","https://www.amazon.com/gp/customer-reviews/RSWC3JJ1SIGFG/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0F3G18CGG","Reviewed in the United States on April 29, 2025",,,"amzn1.account.AEXHFMPUCMJIO7XCDSIBDUHBKERA","https://www.amazon.com/gp/profile/amzn1.account.AEXHFMPUCMJIO7XCDSIBDUHBKERA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0F3G18CGG",,,,
"United States",,"2025-04-28",,"allStars","https://www.amazon.com/Drop-Collectors-DVD-Christopher-Landon/dp/B0F3G18CGG/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_26/132-8474279-2690144?pd_rd_w=NOrZH&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=EH2DFYFQ9DX6X2CAEJX1&pd_rd_wg=PisVR&pd_rd_r=d66ce168-b75b-4545-96be-3d143d278435&pd_rd_i=B0F3G18CGG&psc=1","false","false","false","5",,,"B0F3G18CGG","B0F3G18CGG","2",,"Even though 'Drop' revisits the celebrated 90's thriller, it's missing a crucial ingredient so prevalent in its predecessor's recipe: edginess. With characters that are only one-dimensionally good or bad, and by not towing the line of good taste via taboo subject matter, 'Drop' earns its PG-13 rating (are teenagers actually interested in thirty somethings with baggage in a contained location?) and comes off bland.","R536UK6JZK21B","2 people found this helpful","DROP this movie into the garbage","https://www.amazon.com/gp/customer-reviews/R536UK6JZK21B/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0F3G18CGG","Reviewed in the United States on April 28, 2025",,,"amzn1.account.AFFE3K24K2FMRPR7ZDHSXONNIZVQ","https://www.amazon.com/gp/profile/amzn1.account.AFFE3K24K2FMRPR7ZDHSXONNIZVQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0F3G18CGG",,,,
"United States",,"2006-02-15",,"allStars","https://www.amazon.com/Global-Star-Software-GLS99353-Business/dp/B00005OUJ0/ref=sr_1_70?dib=eyJ2IjoiMSJ9.e9iUxCRQayB5nXIvltMX1PvrhL9DWcYYttdI4jEXSlDt4DnwQz37G2mIDVJF3H_xzWlZvA7cGgTkQjiZYEaP0GkLyyEMxCeD9-cXmrxVY3tgYybfLIcfXpSvdPB4ye2J667A2JHkHwmkMOzgEpFjOZgL_T4BQdY_Elw3LCrjspI.HevRylVAo6qdgyzdkbnh0nNqSp2loKzYCbJ_GxIuYAc&dib_tag=se&qid=1748805292&rnid=16225016011&s=videogames&sr=1-70&srs=16225016011&xpid=GHXL-J4e4rFMQ","false","false","false","1",,,"B00005OUJ0","B00005OUJ0","1",,"purchased item and could not even open it on the computer because it did not even say what is required beyon windows xp on the box which should have included it needed notepad.","R3NUC3PUPF7V1V","One person found this helpful","It sucks","https://www.amazon.com/gp/customer-reviews/R3NUC3PUPF7V1V/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B00005OUJ0","Reviewed in the United States on February 15, 2006",,,"amzn1.account.AFHBWGGU4JJGIAIKN2CAG63MPAOA","https://www.amazon.com/gp/profile/amzn1.account.AFHBWGGU4JJGIAIKN2CAG63MPAOA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B00005OUJ0",,,,
"United States",,"2005-06-13",,"allStars","https://www.amazon.com/Global-Star-Software-GLS99353-Business/dp/B00005OUJ0/ref=sr_1_70?dib=eyJ2IjoiMSJ9.e9iUxCRQayB5nXIvltMX1PvrhL9DWcYYttdI4jEXSlDt4DnwQz37G2mIDVJF3H_xzWlZvA7cGgTkQjiZYEaP0GkLyyEMxCeD9-cXmrxVY3tgYybfLIcfXpSvdPB4ye2J667A2JHkHwmkMOzgEpFjOZgL_T4BQdY_Elw3LCrjspI.HevRylVAo6qdgyzdkbnh0nNqSp2loKzYCbJ_GxIuYAc&dib_tag=se&qid=1748805292&rnid=16225016011&s=videogames&sr=1-70&srs=16225016011&xpid=GHXL-J4e4rFMQ","false","false","false","2",,,"B00005OUJ0","B00005OUJ0","1",,"I bought the product and it doesn't work. There is no product support....at least I can't find any.Wasted money!!!","R2YIZXZV6YCR5E","3 people found this helpful","doesn't work","https://www.amazon.com/gp/customer-reviews/R2YIZXZV6YCR5E/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B00005OUJ0","Reviewed in the United States on June 13, 2005",,,"amzn1.account.AEA2C3Y7LIWURHMOQZABYS6KUKLQ","https://www.amazon.com/gp/profile/amzn1.account.AEA2C3Y7LIWURHMOQZABYS6KUKLQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B00005OUJ0",,,,
"United States",,"2004-07-31",,"allStars","https://www.amazon.com/Global-Star-Software-GLS99353-Business/dp/B00005OUJ0/ref=sr_1_70?dib=eyJ2IjoiMSJ9.e9iUxCRQayB5nXIvltMX1PvrhL9DWcYYttdI4jEXSlDt4DnwQz37G2mIDVJF3H_xzWlZvA7cGgTkQjiZYEaP0GkLyyEMxCeD9-cXmrxVY3tgYybfLIcfXpSvdPB4ye2J667A2JHkHwmkMOzgEpFjOZgL_T4BQdY_Elw3LCrjspI.HevRylVAo6qdgyzdkbnh0nNqSp2loKzYCbJ_GxIuYAc&dib_tag=se&qid=1748805292&rnid=16225016011&s=videogames&sr=1-70&srs=16225016011&xpid=GHXL-J4e4rFMQ","false","false","false","3",,,"B00005OUJ0","B00005OUJ0","1",,"There were no contract forms for hiring subcontractors, or debt collection.  'nuff said.","RRY9YW26LCPLK","2 people found this helpful","sucks","https://www.amazon.com/gp/customer-reviews/RRY9YW26LCPLK/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B00005OUJ0","Reviewed in the United States on July 31, 2004",,,"amzn1.account.AG7JMKYJVDEK7QO27LBJ4FERPF2Q","https://www.amazon.com/gp/profile/amzn1.account.AG7JMKYJVDEK7QO27LBJ4FERPF2Q/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B00005OUJ0",,,,
"United States",,"2025-04-08",,"allStars","https://www.amazon.com/CorelDRAW-Graphics-Software-Professionals-Illustration/dp/B0DXQDR1W2/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_12/132-8474279-2690144?pd_rd_w=NOrZH&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=EH2DFYFQ9DX6X2CAEJX1&pd_rd_wg=PisVR&pd_rd_r=d66ce168-b75b-4545-96be-3d143d278435&pd_rd_i=B0DXQDR1W2&th=1","false","false","false","1",,,"B0DXQDR1W2","B0DXQDR1W2","5",,"CorelDraw has been a go-to graphics tool for many years in my toolbox.  Though creating or editing graphics is not a daily task for me, this tool provides so much flex and ability in design  If you'd like, there is a web-based trial that works very well.  Pricing for Graphics Suite 2025 comes in either an annual subscription or a one-time purchase so you can decide which is your best value.  I am an old-timer and have always preferred the full version over the subscription.If you have a need to create top-level graphics, this one is for you.","R28NKHDEFTD1P4","One person found this helpful","CorelDraw is still a leader in graphics!","https://www.amazon.com/gp/customer-reviews/R28NKHDEFTD1P4/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0DXQDR1W2","Reviewed in the United States on April 8, 2025",,,"amzn1.account.AGYO6IL5MGPWXWIUHOZE4FV3DL6Q","https://www.amazon.com/gp/profile/amzn1.account.AGYO6IL5MGPWXWIUHOZE4FV3DL6Q/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Platform For Display: PC/Mac Download, Edition: Graphics Suite","B0DXQDR1W2","Platform For Display","PC/Mac Download","Edition","Graphics Suite"
"United States",,"2025-04-03",,"allStars","https://www.amazon.com/CorelDRAW-Graphics-Software-Professionals-Illustration/dp/B0DXQDR1W2/ref=pd_rhf_ee_s_pd_sbs_rvi_d_sccl_1_12/132-8474279-2690144?pd_rd_w=NOrZH&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=EH2DFYFQ9DX6X2CAEJX1&pd_rd_wg=PisVR&pd_rd_r=d66ce168-b75b-4545-96be-3d143d278435&pd_rd_i=B0DXQDR1W2&th=1","false","false","false","2",,,"B0DXQDR1W2","B0DXQDR1W2","1",,"I own CorelDraw Graphics Suite X7 (boxed version) and have played around with CorelDraw Graphics Suite 2025.The changes are primarily evolutionary and not revolutionary from my perspective. The UI looks mainly the same but with some added niceties (i.e. there is Dark mode in the newer versions). I am still not happy about the object manager docker as it's always felt clunky and difficult to manage layers and objects. Definitely some improvements with the tools themselves but again they are mainly evolutionary. I am not interested in the ""connected"" features.CorelDraw X7 is officially certified to work in Windows 10 so I saw no reason to upgrade that. I also have the latest updates from the Corel website for it.Unfortunately, my main issues here are with the licensing system. As mentioned I own a boxed copy of CorelDraw X7. Some time ago Corel completely killed the activation servers for it (and many other old versions of Corel software). You can install and plug in the key (and the key shows up in your Corel account as authenticated), but the software itself won't activate. Corel had deferred the activation process to a 3rd party system called ""ntitles"" which has since ceased to exist. You really cannot use the old versions anymore due to activation servers being down.I contacted the Corel customer support and the main response was basically ""we don't support installations of older versions of CorelDraw, and here is a small discount for the latest version"". I don't want to be forced to drop half a grand to upgrade because the activation servers are down. I would want to activate if there are new features I need/want. So instead of releasing a small update to use the Corel activation server instead of ""ntitles"" they instead just try to get you to buy the latest version.So even if you were to buy CorelDraw 2025 it's unknown how long it will work before it becomes unusable due to missing activation support. I just cannot recommend such business model. To me that makes the software unreliable for long term use and I can't trust that my original .cdr files will be usable going forward.I have finally decided to leave CorelDraw and migrate to Affinity suite. Looks much more modern, is cheaper, has perpetual licensing, and there are versions of Affinity older than CorelDraw X7 that are still working just fine.","RJKI8H4Z0ATP2","3 people found this helpful","Not really perpetual license","https://www.amazon.com/gp/customer-reviews/RJKI8H4Z0ATP2/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0DXQDR1W2","Reviewed in the United States on April 3, 2025",,,"amzn1.account.AFNHHONCFX7PZ4M5CKXWDJXJWPFQ","https://www.amazon.com/gp/profile/amzn1.account.AFNHHONCFX7PZ4M5CKXWDJXJWPFQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Platform For Display: PC/Mac Download, Edition: Graphics Suite","B0DXQDR1W2","Platform For Display","PC/Mac Download","Edition","Graphics Suite"
